Date,SP500,APPL,AMZN,AMD,IBM,MSFT
2011-01-25,1291.180054,32.660408000000004,176.699997,7.48,126.268623,23.197360999999997
2011-01-26,1296.630005,32.894798,175.389999,7.49,125.95578,23.466435999999998
2011-01-27,1299.540039,32.833576,184.449997,7.75,125.979317,23.539818
2011-01-28,1276.339966,32.153385,171.139999,7.49,124.52451299999998,22.6266
2011-01-31,1286.119995,32.461422,169.639999,7.83,126.706673,22.610295999999998
2011-02-01,1307.589966,33.007687,172.110001,8.22,127.926819,22.822295999999998
2011-02-02,1304.030029,32.939743,173.529999,8.29,127.723473,22.781523
2011-02-03,1307.099976,32.855564,173.71000700000002,8.33,127.903328,22.545067
2011-02-04,1310.869995,33.148308,175.929993,8.4,128.270966,22.642906
2011-02-07,1319.050049,33.662994,176.429993,8.33,128.91233799999998,22.993515
2011-02-08,1324.569946,33.980614,183.059998,8.24,130.388519,23.058744
2011-02-09,1320.880005,34.263775,185.300003,8.23,129.28921499999998,22.805982999999998
2011-02-10,1321.869995,33.917465,186.21000700000002,8.22,128.849548,22.422757999999998
2011-02-11,1329.150024,34.138453999999996,189.25,8.28,128.66104099999998,22.21891
2011-02-14,1332.319946,34.361354999999996,190.419998,8.63,128.16629,22.20261
2011-02-15,1328.01001,34.430244,189.029999,8.6,127.86792,22.112381
2011-02-16,1336.319946,34.739235,186.619995,8.99,128.307678,22.161594
2011-02-17,1340.430054,34.277164,187.759995,9.44,128.96726999999998,22.317432
2011-02-18,1343.01001,33.536713,186.5,9.18,129.4384,22.194401
2011-02-22,1315.439941,32.393494,180.419998,8.85,127.169075,21.808912
2011-02-23,1307.400024,32.777126,176.679993,8.55,125.779182,21.808912
2011-02-24,1306.099976,32.801998,177.75,9.1,126.24243200000001,21.956551
2011-02-25,1319.880005,33.307117,177.240005,9.29,127.428169,21.776106
2011-02-28,1327.219971,33.790234000000005,173.28999299999998,9.21,127.114143,21.800714000000003
2011-03-01,1306.329956,33.41713,169.440002,9.03,125.61428799999999,21.456235999999997
2011-03-02,1308.439941,33.685951,172.020004,9.17,125.76348899999999,21.390615
2011-03-03,1330.969971,34.397709000000006,172.78999299999998,9.28,128.370468,21.489037
2011-03-04,1321.150024,34.439796,171.669998,9.23,127.07481399999999,21.283985
2011-03-07,1310.130005,33.995907,169.080002,8.84,125.58287800000001,21.095345000000002
2011-03-08,1321.819946,34.034176,166.889999,8.99,127.428169,21.251188
2011-03-09,1320.02002,33.719437,169.050003,8.67,130.239334,21.234779
2011-03-10,1295.109985,33.16457,166.139999,8.42,127.22399899999999,20.841089
2011-03-11,1304.280029,33.673515,168.070007,8.65,127.545952,21.062538
2011-03-14,1296.390015,33.823715,166.729996,8.43,126.729317,21.070747
2011-03-15,1281.869995,33.045947999999996,165.080002,8.28,124.86833200000001,20.824682
2011-03-16,1256.880005,31.570774,164.699997,8.12,120.14121200000001,20.332569
2011-03-17,1273.719971,32.013709999999996,160.970001,8.31,121.06777199999999,20.324366
2011-03-18,1279.209961,31.633915000000002,161.820007,8.55,122.410522,20.340773000000002
2011-03-21,1298.380005,32.459518,164.520004,8.55,123.816093,20.775479999999998
2011-03-22,1293.77002,32.641273,162.600006,8.36,124.067406,20.75086
2011-03-23,1297.540039,32.44899,165.320007,8.59,125.268791,20.947714
2011-03-24,1309.660034,33.001934000000006,171.100006,8.83,125.66923500000001,21.169165
2011-03-25,1313.800049,33.63047,170.979996,8.88,127.34966299999999,21.013325
2011-03-28,1310.189941,33.525234000000005,169.350006,8.69,126.71363799999999,20.841089
2011-03-29,1319.439941,33.574974,174.619995,8.68,127.89933799999999,20.9067
2011-03-30,1328.26001,33.352077,179.419998,8.79,128.464722,21.005125
2011-03-31,1325.829956,33.340599,180.130005,8.6,128.048523,20.824682
2011-04-01,1332.410034,32.962719,180.130005,8.36,128.990829,20.898498999999997
2011-04-04,1332.869995,32.64032,182.940002,8.1,128.975113,20.95591
2011-04-05,1332.630005,32.42028,185.28999299999998,8.11,128.770935,21.144556
2011-04-06,1335.540039,32.33897,182.759995,8.43,128.81015,21.44803
2011-04-07,1333.51001,32.342808000000005,184.91000400000001,8.41,129.077209,21.489037
2011-04-08,1328.170044,32.053886,184.71000700000002,8.47,128.818039,21.382416
2011-04-11,1324.459961,31.646347,184.03999299999998,8.42,128.73954799999998,21.308598999999997
2011-04-12,1314.160034,31.799412,180.479996,8.26,128.189896,21.029729999999997
2011-04-13,1314.410034,32.15625,182.28999299999998,8.2,128.73954799999998,21.021532
2011-04-14,1314.52002,31.801331,181.820007,8.19,129.540512,20.849289000000002
2011-04-15,1319.680054,31.32682,180.009995,8.27,130.51419099999998,20.808277
2011-04-18,1305.140015,31.746809000000002,178.33999599999999,8.2,130.302185,20.570425
2011-04-19,1312.619995,32.321751,178.820007,8.27,129.878098,20.627836
2011-04-20,1330.359985,32.75703,183.869995,8.63,129.367722,21.128157
2011-04-21,1337.380005,33.55011,185.889999,8.71,132.139603,20.931309
2011-04-25,1335.25,33.771099,185.419998,8.7,131.660629,21.005125
2011-04-26,1347.23999,33.523327,182.300003,8.88,132.30453500000002,21.480837
2011-04-27,1355.660034,33.49749,196.630005,8.95,133.780777,21.636673000000002
2011-04-28,1360.47998,33.17223,195.070007,9.07,134.102707,21.907337
2011-04-29,1363.609985,33.495571000000005,195.809998,9.1,133.945679,21.259386
2011-05-02,1361.219971,33.127262,201.190002,9.03,135.17846699999998,21.046136999999998
2011-05-03,1356.619995,33.31094,198.449997,8.8,135.74388100000002,21.169165
2011-05-04,1347.319946,33.442001,199.970001,8.79,133.977097,21.374216
2011-05-05,1335.099976,33.17223,197.110001,8.87,132.280945,21.152758
2011-05-06,1340.199951,33.163609,197.600006,8.92,133.211655,21.218372
2011-05-09,1346.290039,33.25354,200.800003,8.94,133.377319,21.185570000000002
2011-05-10,1357.160034,33.430515,203.940002,8.94,134.38691699999998,21.054338
2011-05-11,1342.079956,33.218151,204.380005,8.88,133.692795,20.800081
2011-05-12,1348.650024,33.155006,206.070007,8.93,135.853958,20.767267
2011-05-13,1337.77002,32.574326,202.559998,8.9,134.024078,20.529413
2011-05-16,1329.469971,31.885521,192.509995,8.67,133.18803400000002,20.152122
2011-05-17,1328.97998,32.157211,194.809998,8.54,134.48156699999998,20.242937
2011-05-18,1340.680054,32.514038,197.08999599999999,8.67,134.434235,20.383282
2011-05-19,1343.599976,32.577179,198.800003,8.64,134.552536,20.408051
2011-05-20,1333.27002,32.069195,198.649994,8.62,134.21344,20.218172
