Date,S&P,AAPL,AMD,AMZN,C,CAT,CME
20120713,0.016362759,0.010083985,0.004089626,0.01397095,0.052775545,0.030055766,0.009353123
20120716,-0.002316995,0.003201869,-0.014389027,-0.010957818,0.005986048,-0.011273306,-0.002854069
20120717,0.007382355,4.90E-05,0.008247892,0.004249956,0.021038138,0.00932142,0.002853924
20120718,0.006658275,-0.001120628,0.004098589,0.002485908,-0.010278645,0.007419408,0.002125739
20120719,0.002713415,0.013207397,-0.006153896,0.039226482,-0.018998331,0.001332112,-0.012092824
20120720,-0.010112621,-0.016445489,-0.14120303,0.009329346,-0.027451364,-0.02054154,-0.013718672
20120723,-0.008948979,-0.000778303,-0.016727122,-0.010037205,-0.02069977,0.007752869,-0.005461889
20120724,-0.00908205,-0.004830649,-0.021925619,-0.013228107,-0.003953806,-0.001840693,-0.000196019
20120725,-0.000313911,-0.044144174,-0.012391458,-0.027223212,0.02155697,0.014265758,0.002930701
20120726,0.016405663,-0.000157012,0.007453156,0.013544853,0.018821754,0.008439289,0.022759037
20120727,0.018900814,0.017723998,0.012300043,0.075736217,0.038078715,0.033757741,0.00133411
20120730,-0.000483477,0.016726332,0.002442016,-0.005196478,-0.005878243,-0.005469933,-0.003624561
20120731,-0.004326173,0.026092608,-0.009803902,-0.011888388,-0.000368068,-0.017422901,-0.004022078
20120801,-0.002904193,-0.006488002,-0.002466038,-0.005199494,-0.012984941,-0.018698737,-0.019298015
20120802,-0.007531963,0.001613697,-0.019950698,-0.005530264,-0.022659805,0.00567089,-0.025440892
20120803,0.018861288,0.012930046,0.029779166,0.017862511,0.045546815,0.022601648,0.021834875
20120806,0.00232656,0.011064561,-0.019753828,-0.004179723,0.041464348,0.015521909,0.020791354
20120807,0.005093764,-0.002631459,0.002490895,0.010923125,0.011488751,0.010024586,0.020180007
20120808,0.000620633,-0.001698442,0.090322306,-0.009257721,-0.001038539,0,-0.002075152
20120809,0.000413599,0.001403015,-0.006841349,-0.001365932,0,0.0134383,0.010520465
20120810,0.002186051,0.00156178,-0.006888673,-0.005612722,0.00138504,0.006090416,0.001493884
20120813,-0.001252685,0.013261674,-0.018605005,-0.001332888,-0.004160643,-0.003716899,-0.001680411
20120814,-0.000128154,0.002679407,-0.033416152,0.003221804,-0.00034706,-0.008386065,-0.017345568
20120815,0.001138991,-0.001361927,0.016847284,0.017977433,-0.001043544,-0.002963386,0.001330115
20120816,0.007075421,0.008697071,-0.004784427,0.017245439,0.002780132,0.011123899,0.015641039
